image_path,text-representation_start-position
images/1860/nqueens.jpg,"0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0"
images/0353/nqueens.jpg,"0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;Q;0;0
0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0
0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0
0;0;Q;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0"
images/1333/nqueens.jpg,"0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0"
images/0905/nqueens.jpg,"0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0"
images/1289/nqueens.jpg,"0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0"
images/1273/nqueens.jpg,"Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0"
images/0938/nqueens.jpg,"0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0"
images/1731/nqueens.jpg,"0;0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0"
images/0065/nqueens.jpg,"0;0;0;0;Q;0;0;0
0;Q;0;0;0;0;0;0
0;0;0;Q;0;0;0;0
0;0;0;0;0;Q;0;0
0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0
Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0"
images/1323/nqueens.jpg,"0;0;0;0;0;0;0;0;Q;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0;0"
images/0056/nqueens.jpg,"0;Q;0;0;0;0;0;0
0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0"
images/1292/nqueens.jpg,"0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0"
images/1118/nqueens.jpg,"0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
0;0;0;0;Q;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
0;0;0;0;0;Q;0;0;0;0
0;0;0;Q;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0"
images/0584/nqueens.jpg,"Q;0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0"
images/0374/nqueens.jpg,"0;0;0;Q;0;0;0;0;0
0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;Q;0;0
0;0;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0"
images/0275/nqueens.jpg,"0;0;0;Q;0;0;0;0;0
0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0
0;0;0;0;Q;0;0;0;0
0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0"
images/0746/nqueens.jpg,"0;0;0;0;Q;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0"
images/0128/nqueens.jpg,"0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0
0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0
0;0;0;0;Q;0;0;0;0
0;Q;0;0;0;0;0;0;0"
images/1646/nqueens.jpg,"0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0"
images/1852/nqueens.jpg,"0;0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;0;0;Q;0;0;0;0;0;0"
images/0674/nqueens.jpg,"0;0;0;0;Q;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
0;0;0;Q;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;Q;0;0"
images/1664/nqueens.jpg,"0;0;0;0;0;0;0;0;Q;0;0
0;0;0;0;0;Q;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;Q;0;0;0;0;0;0;0;0"
images/1981/nqueens.jpg,"0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;Q;0;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0"
images/1083/nqueens.jpg,"0;0;0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0"
images/1922/nqueens.jpg,"0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;0;0;0;0;Q;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0"
images/0099/nqueens.jpg,"0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0;0
0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0
Q;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0"
images/1179/nqueens.jpg,"0;0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;Q;0;0
0;0;0;0;0;Q;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0;0
0;Q;0;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0"
images/0964/nqueens.jpg,"0;0;0;0;0;Q;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;Q;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0;0;0"
images/0792/nqueens.jpg,"0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;Q;0;0;0
0;0;Q;0;0;0;0;0;0;0
Q;0;0;0;0;0;0;0;0;0
0;0;0;0;0;Q;0;0;0;0
0;Q;0;0;0;0;0;0;0;0
0;0;0;0;Q;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;Q;0;0
0;0;0;Q;0;0;0;0;0;0"
images/0029/nqueens.jpg,"0;0;Q;0;0;0;0;0
0;0;0;0;Q;0;0;0
0;0;0;0;0;0;0;0
0;0;0;Q;0;0;0;0
Q;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;Q;0;0;0;0;0;0
0;0;0;0;0;Q;0;0"
