image_path,text_representation_start-position
images/1860/maze_1860.jpg,"1;1;1;1;1;1;1;1;1;1;1;1;1
S;0;0;0;0;0;1;0;0;0;1;0;1
1;1;1;1;1;0;1;0;1;0;1;0;1
1;0;0;0;1;0;1;0;1;0;0;0;1
1;0;1;1;1;0;1;0;1;1;1;0;1
1;0;0;0;0;0;0;0;1;0;0;0;E
1;1;1;1;1;1;1;1;1;1;1;1;1"
images/0353/maze_0353.jpg,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
S;0;0;0;0;0;1;0;1;0;0;0;0;0;1
1;1;1;1;1;0;1;0;1;0;1;0;1;1;1
1;0;1;0;0;0;1;0;0;0;1;0;0;0;1
1;0;1;0;1;1;1;0;1;1;1;1;1;0;1
1;0;0;0;1;0;0;0;0;0;0;0;1;0;1
1;0;1;1;1;0;1;1;1;1;1;0;1;0;1
1;0;0;0;1;0;1;0;0;0;1;0;1;0;1
1;1;1;0;1;1;1;0;1;0;1;1;1;0;1
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1;1;1;1;1;1;1;1;1;1;1;1;1;E;1"
images/1333/maze_1333.jpg,"1;1;1;1;1;1;1;1;1;1;1
S;0;1;0;0;0;0;0;1;0;1
1;0;1;1;1;0;1;0;1;0;1
1;0;0;0;1;0;1;0;1;0;1
1;1;1;0;1;0;1;0;1;0;1
1;0;0;0;0;0;1;0;0;0;1
1;1;1;1;1;1;1;1;1;E;1"
images/0905/maze_0905.jpg,"1;1;1;1;1;1;1;1;1
S;0;0;0;0;0;1;0;1
1;1;1;1;1;0;1;0;1
1;0;0;0;1;0;1;0;1
1;0;1;1;1;0;1;0;1
1;0;0;0;1;0;1;0;1
1;0;1;0;1;0;1;0;1
1;0;1;0;0;0;1;0;1
1;0;1;1;1;1;1;0;1
1;0;0;0;0;0;0;0;1
1;1;1;1;1;1;1;0;1
1;0;0;0;0;0;0;0;E
1;1;1;1;1;1;1;1;1"
images/1289/maze_1289.jpg,"1;1;1;1;1;1;1
S;0;1;0;0;0;1
1;0;1;0;1;0;1
1;0;0;0;1;0;1
1;1;1;1;1;0;1
1;0;0;0;1;0;1
1;0;1;1;1;0;1
1;0;1;0;0;0;1
1;0;1;0;1;1;1
1;0;1;0;1;0;1
1;0;1;0;1;0;1
1;0;1;0;0;0;1
1;0;1;1;1;0;1
1;0;0;0;0;0;1
1;1;1;1;1;E;1"
images/1273/maze_1273.jpg,"1;1;1;1;1;1;1;1;1;1;1
S;0;1;0;0;0;0;0;0;0;1
1;0;1;0;1;1;1;1;1;0;1
1;0;1;0;0;0;1;0;0;0;1
1;0;1;0;1;0;1;0;1;1;1
1;0;1;0;1;0;1;0;1;0;1
1;0;1;1;1;0;1;0;1;0;1
1;0;0;0;0;0;1;0;0;0;1
1;1;1;1;1;1;1;1;1;E;1"
images/0938/maze_0938.jpg,"1;1;1;1;1;1;1
S;0;0;0;0;0;1
1;1;1;1;1;0;1
1;0;0;0;1;0;1
1;0;1;1;1;0;1
1;0;0;0;0;0;E
1;1;1;1;1;1;1"
images/1731/maze_1731.jpg,"1;1;1;1;1;1;1
S;0;1;0;0;0;1
1;0;1;0;1;0;1
1;0;1;0;1;0;1
1;0;1;0;1;1;1
1;0;1;0;0;0;1
1;0;1;0;1;0;1
1;0;1;0;1;0;1
1;0;1;1;1;0;1
1;0;0;0;0;0;1
1;1;1;1;1;0;1
1;0;0;0;0;0;1
1;0;1;1;1;1;1
1;0;0;0;0;0;1
1;1;1;1;1;E;1"
images/0065/maze_0065.jpg,"1;1;1;1;1;1;1;1;1
S;0;1;0;0;0;0;0;1
1;0;1;1;1;0;1;1;1
1;0;0;0;1;0;0;0;1
1;1;1;0;1;1;1;0;1
1;0;0;0;1;0;0;0;1
1;0;1;1;1;0;1;0;1
1;0;0;0;1;0;1;0;1
1;1;1;0;1;0;1;1;1
1;0;1;0;1;0;0;0;1
1;0;1;0;1;1;1;0;1
1;0;0;0;1;0;0;0;1
1;0;1;1;1;0;1;0;1
1;0;0;0;0;0;1;0;1
1;1;1;1;1;1;1;E;1"
images/1323/maze_1323.jpg,"1;1;1;1;1;1;1;1;1;1;1;1;1
S;0;0;0;1;0;0;0;0;0;0;0;1
1;1;1;0;1;0;1;1;1;0;1;0;1
1;0;0;0;1;0;0;0;1;0;1;0;1
1;0;1;1;1;1;1;0;1;0;1;0;1
1;0;0;0;1;0;0;0;1;0;1;0;1
1;1;1;0;1;1;1;1;1;0;1;0;1
1;0;1;0;1;0;0;0;1;0;1;0;1
1;0;1;0;1;0;1;0;1;0;1;1;1
1;0;1;0;0;0;1;0;1;0;0;0;1
1;0;1;1;1;1;1;0;1;1;1;0;1
1;0;0;0;0;0;0;0;0;0;0;0;E
1;1;1;1;1;1;1;1;1;1;1;1;1"
